,Date,Station,Gates,Barrier_Hit,HCSS_Error,HCSS_Uncleared,Intrusion,Passage_Cancel,Tailgate
111,2018-10-15,BHC,G09,0,1,0,4,94,24
112,2018-10-15,BHC,G10,0,1,0,4,70,29
113,2018-10-15,BHC,G11,0,1,0,12,52,36
114,2018-10-15,BHC,G12,0,6,1,1,21,20
115,2018-10-15,BNL,G01,0,2,0,12,19,7
116,2018-10-15,BNL,G02,0,0,0,9,68,27
117,2018-10-15,BNL,G03,1,0,0,17,40,55
118,2018-10-15,BNL,G04,0,17,0,47,130,2
119,2018-10-15,BNL,G05,0,0,0,21,39,25
120,2018-10-15,BNL,G06,0,0,0,0,0,0
121,2018-10-15,BNL,G07,0,4,0,11,9,1
122,2018-10-15,BNL,G08,0,0,0,9,7,11
123,2018-10-15,BNL,G09,0,0,0,10,35,16
124,2018-10-15,BNL,G10,0,2,0,2,8,2
125,2018-10-15,BNL,G11,0,6,0,2,9,4
126,2018-10-15,BNL,G12,0,3,0,7,6,3
127,2018-10-15,BNL,G13,0,0,0,12,100,48
128,2018-10-15,BNL,G14,0,0,0,3,66,77
129,2018-10-15,BNL,G15,0,4,0,2,26,13
130,2018-10-15,BNL,G16,0,4,0,5,30,11
131,2018-10-15,BNL,G17,0,1,1,3,18,18
132,2018-10-15,BNL,G18,0,1,0,5,23,16
133,2018-10-15,BNL,G19,0,1,0,7,33,18
134,2018-10-15,BNL,G20,0,1,0,13,67,36
135,2018-10-15,BNL,G21,1,3,0,10,90,47
136,2018-10-15,BNV,G01,0,3,0,4,9,0
137,2018-10-15,BNV,G02,0,0,0,4,10,6
138,2018-10-15,BNV,G03,0,0,0,7,25,17
139,2018-10-15,BNV,G04,0,7,0,6,7,1
140,2018-10-15,BNV,G05,0,0,0,2,16,10
141,2018-10-15,BNV,G06,0,2,0,4,16,12
142,2018-10-15,BNV,G07,0,2,0,2,6,7
143,2018-10-15,BNV,G08,0,1,0,3,10,6
144,2018-10-15,BNV,G09,0,3,0,10,3,1
145,2018-10-15,BNV,G10,0,4,0,6,1,0
146,2018-10-15,BNV,G11,0,0,0,0,0,0
147,2018-10-15,BSH,G01,0,0,0,0,0,0
148,2018-10-15,BSH,G02,0,0,0,8,57,13
149,2018-10-15,BSH,G03,0,0,0,4,42,19
150,2018-10-15,BSH,G04,2,1,1,13,51,20
151,2018-10-15,BSH,G05,0,1,0,2,16,9
152,2018-10-15,BSH,G06,0,0,0,1,14,9
153,2018-10-15,BSH,G07,0,0,0,6,20,11
154,2018-10-15,BSH,G08,0,0,0,5,8,4
155,2018-10-15,BSH,G09,0,1,0,8,4,4
156,2018-10-15,BSH,G10,0,0,0,15,11,11
157,2018-10-15,CCK,G01,0,1,0,4,5,10
158,2018-10-15,CCK,G02,0,0,0,1,11,4
159,2018-10-15,CCK,G03,0,2,0,6,8,6
160,2018-10-15,CCK,G04,0,34,1,1,24,14
161,2018-10-15,CCK,G05,0,8,0,10,67,17
162,2018-10-15,CCK,G06,0,0,0,0,0,0
